"filename", "language", "HTML", "Properties", "Docker", "TypeScript", "JSON with Comments", "JSON", "JavaScript", "Markdown", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\useCases\user\LoginUseCase.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 15, 9, 57
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\useCases\user\RegisterUseCase.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 16, 10, 62
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\useCases\user\UpdateProfileUseCase.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 14, 7, 51
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\infrastructure\api\apiClient.ts", "TypeScript", 0, 0, 0, 214, 0, 0, 0, 0, 0, 0, 87, 56, 357
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\infrastructure\api\axiosConfig.ts", "TypeScript", 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 23, 28, 158
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\infrastructure\api\endpoints.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\infrastructure\repositories\HttpProductRepository.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\infrastructure\repositories\HttpUserRepository.ts", "TypeScript", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 6, 8, 61
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\infrastructure\services\CacheService.ts", "TypeScript", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 24, 8, 73
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\infrastructure\services\HttpAuthService.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\infrastructure\services\LocalStorageService.ts", "TypeScript", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 29, 6, 83
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\infrastructure\services\PrefetchService.ts", "TypeScript", 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 32, 21, 170
